player_key,display_name,bat_innings,bat_runs,bat_balls,bat_dismissals,bat_sr,bat_avg,bowl_innings,bowl_balls,bowl_runs,bowl_wickets,bowl_econ,bowl_sr,bat_strength,bowl_strength
oc mccoy,OC McCoy,1.0,8.0,5.0,0.0,160.0,8.0,8.0,161.0,250.0,11.0,9.3168,14.6364,0.0,-0.1665
of smith,OF Smith,6.0,51.0,44.0,3.0,115.9091,17.0,6.0,90.0,178.0,6.0,11.8667,15.0,0.0,-2.2246
p amarnath,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,132.0,236.0,7.0,10.7273,18.8571,0.0,-1.466
p awana,P Awana,5.0,5.0,14.0,2.0,35.7143,2.5,33.0,747.0,1029.0,39.0,8.2651,19.1538,0.0,0.4954
p chopra,P Chopra,1.0,8.0,6.0,1.0,133.3333,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p dogra,P Dogra,12.0,127.0,138.0,8.0,92.029,15.875,0.0,0.0,0.0,0.0,0.0,0.0,-1.3036,0.0
p dubey,P Dubey,2.0,23.0,33.0,1.0,69.697,23.0,5.0,78.0,111.0,2.0,8.5385,39.0,0.0,-0.519
p kumar,P Kumar,57.0,340.0,314.0,34.0,108.2803,10.0,119.0,2524.0,3251.0,90.0,7.7282,28.0444,-0.9305,0.5693
p negi,P Negi,35.0,365.0,289.0,22.0,126.2976,16.5909,42.0,716.0,939.0,34.0,7.8687,21.0588,-0.0715,0.7367
p parameswaran,P Parameswaran,2.0,1.0,2.0,0.0,50.0,1.0,8.0,154.0,224.0,9.0,8.7273,17.1111,0.0,0.2068
p prasanth,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,18.0,0.0,18.0,6.0,0.0,0.0
p ray barman,P Ray Barman,1.0,19.0,24.0,1.0,79.1667,19.0,1.0,24.0,56.0,0.0,14.0,24.0,0.0,0.0
p sahu,P Sahu,2.0,19.0,13.0,0.0,146.1538,19.0,5.0,105.0,146.0,3.0,8.3429,35.0,0.0,-0.202
p simran singh,P Simran Singh,52.0,1355.0,887.0,50.0,152.7621,27.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0859,0.0
p suyal,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,96.0,151.0,2.0,9.4375,48.0,0.0,-1.6001
pa patel,PA Patel,136.0,2848.0,2358.0,121.0,120.7803,23.5372,0.0,0.0,0.0,0.0,0.0,0.0,-0.1097,0.0
pa reddy,PA Reddy,10.0,164.0,160.0,10.0,102.5,16.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.9186,0.0
pankaj singh,Pankaj Singh,5.0,7.0,12.0,2.0,58.3333,3.5,17.0,300.0,468.0,11.0,9.36,27.2727,0.0,-0.7075
parvez rasool,Parvez Rasool,4.0,17.0,20.0,2.0,85.0,8.5,11.0,198.0,271.0,4.0,8.2121,49.5,0.0,-0.6782
pbb rajapaksa,PBB Rajapaksa,13.0,277.0,191.0,12.0,145.0262,23.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.7394,0.0
pc valthaty,PC Valthaty,23.0,505.0,418.0,22.0,120.8134,22.9545,10.0,151.0,205.0,7.0,8.1457,21.5714,-0.1198,0.4941
pd collingwood,PD Collingwood,7.0,203.0,156.0,4.0,130.1282,50.75,6.0,89.0,101.0,5.0,6.809,17.8,0.5731,1.7165
pd salt,PD Salt,34.0,1056.0,601.0,31.0,175.7072,34.0645,0.0,0.0,0.0,0.0,0.0,0.0,2.0022,0.0
ph solanki,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,38.0,2.0,6.3333,18.0,0.0,0.0
phkd mendis,PHKD Mendis,5.0,92.0,69.0,4.0,133.3333,23.0,4.0,42.0,60.0,2.0,8.5714,21.0,0.324,0.0
pj cummins,PJ Cummins,48.0,612.0,402.0,29.0,152.2388,21.1034,72.0,1617.0,2373.0,79.0,8.8052,20.4684,0.9541,0.0098
pj sangwan,PJ Sangwan,14.0,26.0,44.0,7.0,59.0909,3.7143,42.0,856.0,1240.0,38.0,8.6916,22.5263,0.0,0.0184
pk garg,PK Garg,19.0,273.0,241.0,18.0,113.278,15.1667,0.0,0.0,0.0,0.0,0.0,0.0,-0.572,0.0
pm sarvesh kumar,PM Sarvesh Kumar,1.0,1.0,2.0,0.0,50.0,1.0,2.0,30.0,42.0,1.0,8.4,30.0,0.0,0.0
pn mankad,PN Mankad,5.0,97.0,73.0,3.0,132.8767,32.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.4629,0.0
pp chawla,PP Chawla,86.0,624.0,563.0,53.0,110.8348,11.7736,191.0,3850.0,5108.0,192.0,7.9605,20.0521,-0.7696,0.7034
pp ojha,PP Ojha,19.0,16.0,45.0,9.0,35.5556,1.7778,90.0,1899.0,2332.0,89.0,7.3681,21.3371,0.0,1.1267
pp shaw,PP Shaw,79.0,1892.0,1283.0,76.0,147.4669,24.8947,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0
pr shah,PR Shah,9.0,92.0,91.0,8.0,101.0989,11.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.1242,0.0
prince yadav,Prince Yadav,2.0,5.0,10.0,0.0,50.0,5.0,6.0,137.0,225.0,3.0,9.854,45.6667,0.0,-1.8404
priyansh arya,Priyansh Arya,18.0,545.0,299.0,18.0,182.2742,30.2778,0.0,0.0,0.0,0.0,0.0,0.0,2.1806,0.0
psp handscomb,PSP Handscomb,1.0,6.0,12.0,1.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv tambe,PV Tambe,6.0,18.0,39.0,1.0,46.1538,18.0,33.0,660.0,853.0,28.0,7.7545,23.5714,0.0,0.7275
pvd chameera,PVD Chameera,10.0,53.0,42.0,3.0,126.1905,17.6667,19.0,384.0,630.0,13.0,9.8438,29.5385,0.0,-1.1859
pvsn raju,PVSN Raju,1.0,1.0,1.0,0.0,100.0,1.0,2.0,24.0,53.0,1.0,13.25,24.0,0.0,0.0
pwa mulder,PWA Mulder,1.0,9.0,11.0,1.0,81.8182,9.0,1.0,6.0,16.0,0.0,16.0,6.0,0.0,0.0
pwh de silva,PWH de Silva,19.0,81.0,88.0,15.0,92.0455,5.4,37.0,798.0,1119.0,46.0,8.4135,17.3478,-1.7604,0.4487
q de kock,Q de Kock,115.0,3312.0,2472.0,106.0,133.9806,31.2453,0.0,0.0,0.0,0.0,0.0,0.0,0.4863,0.0
r ashwin,R Ashwin,93.0,833.0,705.0,61.0,118.156,13.6557,217.0,4710.0,5652.0,187.0,7.2,25.1872,-0.4457,1.1072
r bhatia,R Bhatia,47.0,342.0,284.0,29.0,120.4225,11.7931,91.0,1636.0,2020.0,71.0,7.4083,23.0423,-0.4296,1.0262
r bishnoi,R Bishnoi,3.0,19.0,17.0,3.0,111.7647,6.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r dhawan,R Dhawan,22.0,210.0,187.0,10.0,112.2995,21.0,36.0,662.0,891.0,25.0,8.0755,26.48,-0.4612,0.3537
r dravid,R Dravid,82.0,2174.0,1882.0,75.0,115.5154,28.9867,0.0,0.0,0.0,0.0,0.0,0.0,-0.2013,0.0
r goyal,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,33.0,0.0,8.25,24.0,0.0,0.0
r mclaren,R McLaren,13.0,159.0,171.0,8.0,92.9825,19.875,18.0,354.0,542.0,12.0,9.1864,29.5,-1.1695,-0.6576
r minz,R Minz,2.0,6.0,15.0,2.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r ninan,R Ninan,1.0,3.0,6.0,1.0,50.0,3.0,2.0,36.0,65.0,3.0,10.8333,12.0,0.0,0.0
r parag,R Parag,72.0,1570.0,1106.0,58.0,141.953,27.069,30.0,295.0,477.0,7.0,9.7017,42.1429,0.7029,-1.5772
r powell,R Powell,23.0,365.0,249.0,20.0,146.5863,18.25,2.0,18.0,35.0,1.0,11.6667,18.0,0.6889,0.0
r rampaul,R Rampaul,7.0,51.0,50.0,5.0,102.0,10.2,12.0,268.0,309.0,16.0,6.9179,16.75,0.0,1.6713
r ravindra,R Ravindra,18.0,413.0,287.0,16.0,143.9024,25.8125,2.0,12.0,7.0,0.0,3.5,12.0,0.7503,0.0
r sai kishore,R Sai Kishore,4.0,18.0,16.0,3.0,112.5,6.0,25.0,441.0,651.0,32.0,8.8571,13.7812,0.0,0.2361
r sanjay yadav,R Sanjay Yadav,1.0,0.0,2.0,1.0,0.0,0.0,1.0,12.0,23.0,0.0,11.5,12.0,0.0,0.0
r sathish,R Sathish,24.0,270.0,231.0,16.0,116.8831,16.875,14.0,139.0,232.0,3.0,10.0144,46.3333,-0.397,-1.9957
r sharma,R Sharma,19.0,66.0,75.0,11.0,88.0,6.0,44.0,928.0,1086.0,40.0,7.0216,23.2,-1.8613,1.3298
r shepherd,R Shepherd,12.0,185.0,87.0,7.0,212.6437,26.4286,15.0,210.0,408.0,10.0,11.6571,21.0,3.1932,-2.2971
r shukla,R Shukla,4.0,19.0,23.0,1.0,82.6087,19.0,7.0,120.0,208.0,5.0,10.4,24.0,0.0,-1.4098
r tewatia,R Tewatia,76.0,1112.0,811.0,46.0,137.1147,24.1739,52.0,843.0,1111.0,32.0,7.9075,26.3438,0.4804,0.4938
r vinay kumar,R Vinay Kumar,42.0,310.0,274.0,25.0,113.1387,12.4,104.0,2127.0,2986.0,105.0,8.4231,20.2571,-0.6654,0.3245
ra bawa,RA Bawa,3.0,19.0,18.0,2.0,105.5556,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ra jadeja,RA Jadeja,194.0,3260.0,2502.0,115.0,130.2958,28.3478,225.0,4056.0,5188.0,170.0,7.6746,23.8588,0.3115,0.7801
ra shaikh,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,0.0,11.0,6.0,0.0,0.0
ra tripathi,RA Tripathi,98.0,2291.0,1662.0,85.0,137.846,26.9529,1.0,6.0,12.0,0.0,12.0,6.0,0.5556,0.0
rahmanullah gurbaz,Rahmanullah Gurbaz,18.0,363.0,269.0,17.0,134.9442,21.3529,0.0,0.0,0.0,0.0,0.0,0.0,0.3475,0.0
ramandeep singh,Ramandeep Singh,20.0,217.0,137.0,11.0,158.3942,19.7273,4.0,40.0,63.0,6.0,9.45,6.6667,1.1416,0.0
rashid khan,Rashid Khan,66.0,585.0,365.0,42.0,160.274,13.9286,136.0,3202.0,3781.0,158.0,7.0849,20.2658,1.0533,1.3966
rasikh salam,Rasikh Salam,6.0,40.0,40.0,5.0,100.0,8.0,13.0,231.0,409.0,10.0,10.6234,23.1,0.0,-1.5528
ravi bishnoi,Ravi Bishnoi,16.0,45.0,66.0,9.0,68.1818,5.0,76.0,1633.0,2237.0,72.0,8.2192,22.6806,-2.6352,0.3908
rd chahar,RD Chahar,22.0,129.0,124.0,15.0,104.0323,8.6,78.0,1670.0,2150.0,75.0,7.7246,22.2667,-1.145,0.8038
rd gaikwad,RD Gaikwad,70.0,2502.0,1820.0,60.0,137.4725,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7423,0.0
rd rickelton,RD Rickelton,14.0,388.0,257.0,13.0,150.9728,29.8462,0.0,0.0,0.0,0.0,0.0,0.0,1.0666,0.0
re levi,RE Levi,6.0,83.0,73.0,6.0,113.6986,13.8333,0.0,0.0,0.0,0.0,0.0,0.0,-0.5977,0.0
re van der merwe,RE van der Merwe,15.0,159.0,141.0,11.0,112.766,14.4545,21.0,443.0,498.0,21.0,6.7449,21.0952,-0.6113,1.6358
rg more,RG More,1.0,2.0,2.0,0.0,100.0,2.0,2.0,35.0,59.0,1.0,10.1143,35.0,0.0,0.0
rg sharma,RG Sharma,266.0,7048.0,5337.0,235.0,132.0592,29.9915,32.0,339.0,453.0,15.0,8.0177,22.6,0.3996,0.5555
rj gleeson,RJ Gleeson,1.0,2.0,2.0,0.0,100.0,2.0,3.0,68.0,110.0,2.0,9.7059,34.0,0.0,-1.2542
rj harris,RJ Harris,21.0,117.0,112.0,12.0,104.4643,9.75,37.0,832.0,1047.0,45.0,7.5505,18.4889,-1.0763,1.0947
rj peterson,RJ Peterson,5.0,32.0,30.0,3.0,106.6667,10.6667,4.0,48.0,70.0,3.0,8.75,16.0,0.0,0.0
rj quiney,RJ Quiney,7.0,103.0,102.0,7.0,100.9804,14.7143,0.0,0.0,0.0,0.0,0.0,0.0,-1.0205,0.0
rjw topley,RJW Topley,1.0,3.0,6.0,0.0,50.0,3.0,6.0,120.0,222.0,5.0,11.1,24.0,0.0,-1.9708
rk bhui,RK Bhui,4.0,10.0,26.0,4.0,38.4615,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rk singh,RK Singh,51.0,1099.0,757.0,36.0,145.1783,30.5278,0.0,0.0,0.0,0.0,0.0,0.0,0.8719,0.0
rm patidar,RM Patidar,38.0,1111.0,720.0,35.0,154.3056,31.7429,0.0,0.0,0.0,0.0,0.0,0.0,1.2126,0.0
rn ten doeschate,RN ten Doeschate,21.0,326.0,235.0,14.0,138.7234,23.2857,10.0,78.0,94.0,2.0,7.2308,39.0,0.5203,0.529
